title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
パティオプラスパI,京都府長岡京市井ノ内広海道,"
阪急京都線/西向日駅 歩20分
ＪＲ東海道本線/長岡京駅 歩40分
阪急京都線/長岡天神駅 歩30分
","
築39年
5階建
","
											4階",3.5万円,-,10万円,-,1K,17.72m2
パティオプラスパI,京都府長岡京市井ノ内広海道,"
阪急京都線/西向日駅 歩20分
ＪＲ東海道本線/長岡京駅 歩40分
阪急京都線/長岡天神駅 歩30分
","
築39年
5階建
","
											4階",3.8万円,-,10万円,-,1K,17.72m2
朝日プラザ伏見桂川,京都府京都市伏見区久我石原町,"
ＪＲ東海道本線/向日町駅 歩36分
阪急京都線/東向日駅 歩38分
阪急京都線/西向日駅 歩35分
","
築33年
12階建
","
											10階",7.6万円,-,7.6万円,-,3LDK,60.09m2
ティンカーベル,京都府向日市鶏冠井町山畑,"
阪急京都線/西向日駅 歩3分
ＪＲ東海道本線/向日町駅 歩22分
ＪＲ東海道本線/長岡京駅 歩30分
","
築17年
2階建
","
											1階",4.9万円,3000円,5万円,-,1K,22m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											2階",6.4万円,6000円,-,12.8万円,1K,29.56m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											3階",6.5万円,6000円,-,13万円,1K,29.56m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											4階",6.6万円,6000円,-,13.2万円,1K,30.88m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											3階",6.6万円,6000円,-,13.2万円,1K,30.88m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											2階",6.6万円,6000円,-,13.2万円,1K,33.26m2
グランレブリー桂川サウススクエア,京都府向日市寺戸町修理式,"
阪急京都線/東向日駅 歩11分
ＪＲ東海道本線/向日町駅 歩11分
阪急京都線/洛西口駅 歩11分
","
新築
6階建
","
											2階",6.6万円,6000円,-,13.2万円,1K,33.26m2
